date,cash,value,601288.SH_volume_1_x,601398.SH_volume_2,601288.SH_volume_1_y,601988.SH_volume_2,002017.SZ_volume_1,600776.SH_volume_2,002194.SZ_volume_1_x,603118.SH_volume_2_x,002463.SZ_volume_1,603118.SH_volume_2_y,600062.SH_volume_1,603367.SH_volume_2,002234.SZ_volume_1,002746.SZ_volume_2,000686.SZ_volume_1_x,002926.SZ_volume_2,000810.SZ_volume_1,002463.SZ_volume_2_x,002792.SZ_volume_1_x,603118.SH_volume_2,601988.SH_volume_1,601998.SH_volume_2,600602.SH_volume_1_x,600756.SH_volume_2,600928.SH_volume_1,601860.SH_volume_2,600602.SH_volume_1_y,603383.SH_volume_2_x,300134.SZ_volume_1,603328.SH_volume_2_x,000686.SZ_volume_1_y,000783.SZ_volume_2,600756.SH_volume_1,603383.SH_volume_2_y,600446.SH_volume_1,600602.SH_volume_2,002194.SZ_volume_1_y,002463.SZ_volume_2_y,002792.SZ_volume_1_y,603328.SH_volume_2_y,rev
2021-12-27,316560345.413727,256666953.9443828,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.004929565984501116
2021-12-28,316560345.413727,251458957.67236772,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.02029087185545353
2021-12-29,316560345.413727,247261002.58104205,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.016694394704344973
2021-12-30,337244218.4248587,-5208236581.773921,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-22.063720228453228
2021-12-31,337244218.4248587,-5242565578.338324,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.006591289782137855
2022-01-04,337244218.4248587,-5331504006.934508,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.016964676410280433
2022-01-05,337244218.4248587,-5250032286.895544,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.015281188935241663
2022-01-06,337244218.4248587,-5191692203.4183235,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.011112328513262937
2022-01-07,337244218.4248587,-5041802455.221115,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.028871077545490453
2022-01-10,337670527.45896024,-30650375.84669157,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,2800.0,-130000.0,0.0,0.0,80000.0,-228300.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.9939207503429749
