date,cash,value,601288.SH_volume_1_x,601988.SH_volume_2_x,600022.SH_volume_1,600808.SH_volume_2_x,601398.SH_volume_1,601998.SH_volume_2_x,600231.SH_volume_1,600569.SH_volume_2,601288.SH_volume_1_y,601398.SH_volume_2,601328.SH_volume_1,601988.SH_volume_2_y,601288.SH_volume_1,601998.SH_volume_2_y,000825.SZ_volume_1,600808.SH_volume_2_y,688033.SH_volume_1,688518.SH_volume_2,000831.SZ_volume_1,600111.SH_volume_2,000505.SZ_volume_1,600073.SH_volume_2,300619.SZ_volume_1,603667.SH_volume_2,600015.SH_volume_1_x,601169.SH_volume_2,600123.SH_volume_1,601101.SH_volume_2,000898.SZ_volume_1,600808.SH_volume_2,002897.SZ_volume_1,688556.SH_volume_2_x,002110.SZ_volume_1,600782.SH_volume_2,603688.SH_volume_1,688556.SH_volume_2_y,600015.SH_volume_1_y,601229.SH_volume_2,300841.SZ_volume_1,603882.SH_volume_2,rev
2022-03-10,99851294.2915388,106449585.89621879,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,-0.015361729006354574
2022-03-11,99851294.2915388,109492190.33817479,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.028582585985091002
2022-03-14,99851294.2915388,112254939.04096079,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.02523238136211403
2022-03-15,99851294.2915388,103428417.00667678,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,-0.07862925328446613
2022-03-16,99851294.2915388,103998410.9745208,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.005510999629891211
2022-03-17,144961570.1313189,142012452.61920285,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.36552521609195865
2022-03-18,144961570.1313189,144817970.3590269,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.019755434738859545
2022-03-21,144961570.1313189,142303650.8095249,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.017361930589612662
2022-03-22,144961570.1313189,145542519.08117694,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.02276026126685471
2022-03-23,144961570.1313189,145450051.6970709,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0006353290068757955
2022-03-24,144961570.1313189,142600653.85380685,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.01959021540396899
2022-03-25,144961570.1313189,146443332.6176309,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.026947132849499678
2022-03-28,145243369.40335128,153461073.65712124,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.04792120552059509
2022-03-29,145243369.40335128,158198026.06962523,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.03086745257033563
2022-03-30,145551371.91841206,152482184.68447608,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,1880000.0,-1275200.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0361309273393432
