date,cash,value,002961.SZ_volume_1,603093.SH_volume_2,002957.SZ_volume_1_x,688028.SH_volume_2_x,688030.SH_volume_1,688168.SH_volume_2_x,688022.SH_volume_1,688028.SH_volume_2_y,002017.SZ_volume_1,600776.SH_volume_2,600288.SH_volume_1,600602.SH_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,002628.SZ_volume_1,600528.SH_volume_2,002234.SZ_volume_1_x,300761.SZ_volume_2,002234.SZ_volume_1_y,002746.SZ_volume_2,603328.SH_volume_1,603421.SH_volume_2,002474.SZ_volume_1_x,600797.SH_volume_2,000563.SZ_volume_1,600643.SH_volume_2,600446.SH_volume_1,603383.SH_volume_2,002957.SZ_volume_1_y,688022.SH_volume_2,600088.SH_volume_1,603000.SH_volume_2,002657.SZ_volume_1,600446.SH_volume_2,688066.SH_volume_1,688168.SH_volume_2_y,002474.SZ_volume_1_y,600602.SH_volume_2_y,002436.SZ_volume_1,603005.SH_volume_2,rev
2021-03-03,51030877.70648998,-5517106273.37116,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.007664722125441115
2021-03-04,51030877.70648998,-5460488231.863909,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.010262271325191419
2021-03-05,51030877.70648998,-5519021272.121098,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.010719378519236988
2021-03-08,51030877.70648998,-5462684025.924405,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.01020783276942161
2021-03-09,51030877.70648998,-5361227757.375897,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.01857260424857521
2021-03-10,51030877.70648998,-5308501407.6782,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.009834752799889435
2021-03-11,51030877.70648998,-5361987058.38046,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.010075470758074578
2021-03-12,51030877.70648998,-5319850632.473459,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.007858360240005413
2021-03-15,51030877.70648998,-5347546025.814247,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.005206047172025663
2021-03-16,51030877.70648998,-5490019699.99805,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.026642814011518245
